FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,B6,20409,B6,1233,13204,1320402,31454,MCO,14843,1484304,34819,SJU,1725,1714,-11.00,19.00,1733,2055,5.00,2110,2100,-10.00,0.00,,0.00,1189.00
2015-01-01,B6,20409,B6,1234,14843,1484304,34819,SJU,13204,1320402,31454,MCO,2150,2139,-11.00,12.00,2151,2337,15.00,2351,2352,1.00,0.00,,0.00,1189.00
2015-01-01,B6,20409,B6,1236,14843,1484304,34819,SJU,15024,1502403,34945,STT,0748,0737,-11.00,10.00,0747,0804,2.00,0822,0806,-16.00,0.00,,0.00,68.00
2015-01-01,B6,20409,B6,1237,10721,1072102,30721,BOS,11433,1143302,31295,DTW,1555,1602,7.00,14.00,1616,1813,5.00,1818,1818,0.00,0.00,,0.00,632.00
2015-01-01,B6,20409,B6,1251,12197,1219702,31703,HPN,14635,1463502,31714,RSW,0730,0726,-4.00,9.00,0735,1026,7.00,1049,1033,-16.00,0.00,,0.00,1102.00
2015-01-01,B6,20409,B6,1252,14635,1463502,31714,RSW,12197,1219702,31703,HPN,1125,1119,-6.00,8.00,1127,1356,3.00,1410,1359,-11.00,0.00,,0.00,1102.00
2015-01-01,B6,20409,B6,1253,11697,1169703,32467,FLL,14843,1484304,34819,SJU,1850,1848,-2.00,15.00,1903,2205,7.00,2218,2212,-6.00,0.00,,0.00,1046.00
2015-01-01,B6,20409,B6,1254,14027,1402702,34027,PBI,12478,1247802,31703,JFK,1653,1655,2.00,15.00,1710,1935,11.00,1938,1946,8.00,0.00,,0.00,1028.00
2015-01-01,B6,20409,B6,1256,12264,1226402,30852,IAD,10721,1072102,30721,BOS,2059,2050,-9.00,10.00,2100,2200,4.00,2219,2204,-15.00,0.00,,0.00,413.00
